Job name: 160802_Zatopack P30 (1)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

57a;1,0190;8,4;4,9;2,80;26,5;12,2;16,0;1,99;1,0;1,0;1,4;245;236;02.08.2016;13:24:37;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (2)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

110a;1,0171;4,3;3,8;2,77;24,6;12,7;13,7;1,90;1,0;1,0;1,2;217;206;02.08.2016;13:25:00;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE
;;;;;;;;;;;;;;;;;Flüssigkeitssystem wird gereinigt fertig;;VALUE

Job name: 160802_Zatopack P30 (3)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

129a;1,0165;5,5;3,1;2,47;29,8;14,2;17,1;1,82;1,0;1,0;1,6;309;271;02.08.2016;13:26:50;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (4)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

147a;1,0156;2,3;4,0;2,57;29,2;14,6;15,8;1,76;1,1;1,1;1,0;251;173;02.08.2016;13:27:13;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (5)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

166a;1,0173;4,8;2,4;2,54;31,2;15,5;16,0;1,94;1,4;1,0;1,0;236;178;02.08.2016;13:27:54;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (6)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

212a;1,0156;6,2;3,8;2,93;24,1;11,0;15,8;1,71;1,0;1,0;1,2;269;266;02.08.2016;13:28:36;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (7)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

223a;1,0179;6,7;3,3;2,67;29,7;13,9;17,1;1,77;1,0;1,0;1,1;269;218;02.08.2016;13:29:17;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (8)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

241a;1,0199;7,2;7,3;2,55;31,6;14,6;17,3;1,00;1,0;1,0;1,0;272;236;02.08.2016;13:30:00;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (9)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

